policy,condition,seed,cell,episode,success,failure_mode,frames,duration_s,n_releases,n_kept,nearest_release_deg,max_travel_deg,n_rel_12,n_rel_11,n_rel_10,n_rel_9,n_rel_8
clean-seed2000,clean,2000,in_distribution,15,1,success,541,18.0,1,1,1.3376360248813874,48.810463440927975,1,1,1,1,1
clean-seed2000,clean,2000,near_1in,1,1,success,549,18.267,1,1,2.2973501072726243,48.31679684814773,1,1,1,2,2
clean-seed2000,clean,2000,near_1in,2,0,contact_no_grasp,1147,38.2,3,0,48.85669743113618,2.0998714041898126,3,3,4,4,5
clean-seed2000,clean,2000,near_1in,3,1,success,597,19.867,1,1,2.0117169100199312,47.177819118597704,1,1,1,1,1
clean-seed2000,clean,2000,near_1in,4,0,contact_no_grasp,1148,38.233,2,0,49.3600359566783,2.848720707818856,2,2,2,2,2
clean-seed2000,clean,2000,near_1in,5,0,contact_no_grasp,1148,38.233,3,1,29.131256656000886,18.56690750476537,3,3,4,4,4
clean-seed2000,clean,2000,near_1in,6,1,success,513,17.067,1,1,4.310383982711084,45.07713900622522,1,1,1,1,1
clean-seed2000,clean,2000,near_1in,7,0,contact_no_grasp,1150,38.3,1,0,44.30045633565791,4.989093556597858,1,1,1,1,1
clean-seed2000,clean,2000,near_1in,8,0,contact_no_grasp,1148,38.233,4,0,45.900534323218224,2.01157747703342,4,4,4,4,4
clean-seed2000,clean,2000,near_2in,1,0,timeout_other,1131,37.667,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,near_2in,2,0,timeout_other,1150,38.3,4,0,41.242972223918414,7.6077186945411,4,4,4,4,4
clean-seed2000,clean,2000,near_2in,3,0,timeout_other,1145,38.133,2,0,48.17707137691511,2.093957160231973,2,2,2,3,3
clean-seed2000,clean,2000,near_2in,4,0,timeout_other,1149,38.267,2,2,29.707079610019285,17.007984871109183,2,2,2,2,2
clean-seed2000,clean,2000,near_2in,5,0,timeout_other,1149,38.267,2,0,48.14722516016002,1.7321100012271415,2,2,2,2,2
clean-seed2000,clean,2000,near_2in,6,0,timeout_other,1149,38.267,2,0,48.170259774436914,1.6734723258164976,2,2,2,2,2
clean-seed2000,clean,2000,near_2in,7,0,timeout_other,1149,38.267,3,0,49.39363986223745,4.751916814849814,3,3,3,3,3
clean-seed2000,clean,2000,near_2in,8,0,contact_no_grasp,1146,38.167,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,new_positions,1,0,timeout_other,1151,38.333,4,0,47.882321668404074,2.794018021887652,4,4,3,3,3
clean-seed2000,clean,2000,new_positions,2,0,timeout_other,1151,38.333,2,0,49.528384757156886,0.6695868557744333,2,1,1,1,1
clean-seed2000,clean,2000,new_positions,3,0,timeout_other,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,new_positions,4,0,no_departure,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,new_positions,5,0,no_departure,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,new_positions,6,0,no_departure,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,new_positions,7,0,no_departure,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,new_positions,8,0,timeout_other,1151,38.333,1,0,48.15802964621575,0.4037136378755122,1,1,1,1,1
clean-seed2000,clean,2000,new_positions,9,0,timeout_other,1150,38.3,3,0,48.62651592470871,3.615690864149549,3,3,3,3,3
clean-seed2000,clean,2000,new_positions,10,0,timeout_other,1151,38.333,3,0,48.096689040100614,4.00448410743337,3,3,3,3,3
clean-seed2000,clean,2000,new_positions,11,0,timeout_other,1148,38.233,3,0,45.9850325685687,1.8961493097792683,3,3,3,3,3
clean-seed2000,clean,2000,new_positions,12,0,timeout_other,1151,38.333,2,0,47.378098448675544,2.1929361668667866,2,2,2,2,2
clean-seed2000,clean,2000,new_positions,13,0,timeout_other,1151,38.333,2,0,44.73041318727781,1.3535839144011739,2,2,2,2,2
clean-seed2000,clean,2000,new_positions,14,0,timeout_other,1149,38.267,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,new_positions,15,0,timeout_other,1151,38.333,3,0,47.57186999497715,2.594433546299861,3,3,3,3,4
clean-seed2000,clean,2000,reduced_lighting,1,0,no_departure,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,reduced_lighting,2,1,success,575,19.133,1,1,1.970764072384707,47.277646635607624,1,1,1,1,1
clean-seed2000,clean,2000,reduced_lighting,3,0,contact_no_grasp,1151,38.333,5,1,38.811503326974915,10.778525980312075,5,5,5,4,4
clean-seed2000,clean,2000,reduced_lighting,4,1,success,803,26.733,1,1,3.2421872156457248,45.278697308719714,1,1,1,1,1
clean-seed2000,clean,2000,reduced_lighting,5,0,timeout_other,1151,38.333,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,reduced_lighting,6,0,timeout_other,1150,38.3,0,0,,,0,0,0,0,0
clean-seed2000,clean,2000,reduced_lighting,7,1,success,696,23.167,1,1,4.128187637646004,44.889956531962284,1,1,1,1,1
clean-seed2000,clean,2000,reduced_lighting,8,1,success,889,29.6,1,1,4.25804771803924,44.58340547339406,1,1,1,1,1
clean-seed2000,clean,2000,reduced_lighting,9,1,success,757,25.2,1,1,3.247555084052852,45.12204492524554,1,1,1,1,1
clean-seed2000,clean,2000,reduced_lighting,10,1,success,804,26.767,1,1,1.3543420905610013,48.31788598086801,1,1,1,1,1
clean-seed2000,clean,2000,reduced_lighting,11,0,contact_no_grasp,1151,38.333,6,1,37.75231632892456,11.66875628985393,6,5,5,5,4
