_step,train/losses_after_rm_padding,run
200,0.2630589033663273,clean-seed2000
400,0.17064275443553925,clean-seed2000
600,0.1529357360675931,clean-seed2000
800,0.13773573260754346,clean-seed2000
1000,0.1271382885798812,clean-seed2000
1200,0.12006026297807694,clean-seed2000
1400,0.11443795450031757,clean-seed2000
1600,0.11218032110482454,clean-seed2000
1800,0.10720108855515718,clean-seed2000
2000,0.10354823146015406,clean-seed2000
2200,0.10178474985063075,clean-seed2000
2400,0.095740822032094,clean-seed2000
2600,0.09468481862917542,clean-seed2000
2800,0.08974940637126565,clean-seed2000
3000,0.0880042583309114,clean-seed2000
3200,0.08317213920876383,clean-seed2000
3400,0.08441328624263406,clean-seed2000
3600,0.07827796760946512,clean-seed2000
3800,0.07771138779819012,clean-seed2000
4000,0.07542742308229208,clean-seed2000
4200,0.07424921182915568,clean-seed2000
4400,0.06890178123489023,clean-seed2000
4600,0.06688563134521246,clean-seed2000
4800,0.06679220467805863,clean-seed2000
5000,0.06453315686434508,clean-seed2000
5200,0.06198373330757022,clean-seed2000
5400,0.06136277969926596,clean-seed2000
5600,0.05935158951207995,clean-seed2000
5800,0.057957174507901076,clean-seed2000
6000,0.05709964284673333,clean-seed2000
6200,0.056740287709981206,clean-seed2000
6400,0.054341630740091205,clean-seed2000
6600,0.05371238670311868,clean-seed2000
6800,0.052980976561084386,clean-seed2000
7000,0.05327287343330681,clean-seed2000
7200,0.050903043188154695,clean-seed2000
7400,0.0516809693351388,clean-seed2000
7600,0.04979492383077741,clean-seed2000
7800,0.04983435222879052,clean-seed2000
8000,0.047379696937277914,clean-seed2000
8200,0.04839181996881962,clean-seed2000
8400,0.04742969276383519,clean-seed2000
8600,0.047419486250728365,clean-seed2000
8800,0.04743932676501572,clean-seed2000
9000,0.04749426955357194,clean-seed2000
9200,0.046698461323976516,clean-seed2000
9400,0.046159698283299806,clean-seed2000
9600,0.04756607708521187,clean-seed2000
9800,0.04726471426896751,clean-seed2000
200,0.2601836349442601,clean
400,0.16400789707899094,clean
600,0.15219925541430712,clean
800,0.13740342415869236,clean
1000,0.12742552660405637,clean
1200,0.11870262827724218,clean
1400,0.11555817402899266,clean
1600,0.10980624236166477,clean
1800,0.10783443044871092,clean
2000,0.10163053598254919,clean
2200,0.09931884802877904,clean
2400,0.09702304858714342,clean
2600,0.09426994986832142,clean
2800,0.08884260332211852,clean
3000,0.08789476979523897,clean
3200,0.08358237922191619,clean
3400,0.08272181414067745,clean
3600,0.08063377631828189,clean
3800,0.07789045160636306,clean
4000,0.0749275466427207,clean
4200,0.07149755438789725,clean
4400,0.07197925698012114,clean
4600,0.06813307289034128,clean
4800,0.06633149949833751,clean
5000,0.06532054310664534,clean
5200,0.06340433150529862,clean
5400,0.06236890595406294,clean
5600,0.05899174196645617,clean
5800,0.05803645571693778,clean
6000,0.058283447893336414,clean
6200,0.056129088699817656,clean
6400,0.054785231463611125,clean
6600,0.05324970187619329,clean
6800,0.0518804738484323,clean
7000,0.05241077562794089,clean
7200,0.05217559200711548,clean
7400,0.05037106611765921,clean
7600,0.048470193818211556,clean
7800,0.05006570937111974,clean
8000,0.048782494598999616,clean
8200,0.04932560827583075,clean
8400,0.04763287341222167,clean
8600,0.04786975858733058,clean
8800,0.047496385909616946,clean
9000,0.04851829142309725,clean
9200,0.047743951920419934,clean
9400,0.04801855994388461,clean
9600,0.04731107058934867,clean
