condition,pooled_auroc,ci_low,ci_high,within_cell_auroc,gap
clean,0.7551515151515151,0.6571875,0.836462739112739,0.5695601851851853,0.18559132996632988
color,0.7902315832315833,0.7043626822523881,0.8528044871794872,0.6195138888888889,0.17071769434269435
randomized,0.7790530303030303,0.7071386784511784,0.8366161162911163,0.6629907407407407,0.11606228956228959
recovery,0.9022300230633563,0.8580409340659341,0.9296121001683502,0.8366388888888888,0.06559113417446749
