cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,222,1,-,True,23.31,19.28,0.78,58.52,19.5,in_distribution,15.68,8.2
in_distribution,2,347,1,-,True,23.81,19.27,0.52,57.37,24.97,in_distribution,15.77,8.42
in_distribution,3,229,0,-,True,23.86,18.49,1.05,58.74,25.93,in_distribution,15.77,8.29
in_distribution,4,221,1,-,True,24.68,19.73,-1.17,61.33,24.98,in_distribution,15.92,8.33
in_distribution,5,688,1,-,True,24.04,19.96,-0.7,61.63,28.4,in_distribution,16.02,8.19
in_distribution,6,379,1,-,True,23.55,21.13,-3.95,62.76,26.81,in_distribution,15.78,8.63
in_distribution,7,284,1,-,True,23.15,19.1,3.03,56.94,26.06,in_distribution,15.98,7.93
in_distribution,8,628,1,-,True,22.71,17.94,3.99,55.3,23.42,in_distribution,15.7,8.04
in_distribution,9,270,1,-,True,23.72,20.84,-2.95,61.37,24.81,in_distribution,15.78,8.56
in_distribution,10,582,1,-,True,23.55,20.5,-2.88,61.14,24.34,in_distribution,15.68,8.62
in_distribution,11,341,1,-,True,24.26,16.55,6.44,52.73,27.07,in_distribution,15.92,7.98
in_distribution,12,249,1,-,True,22.67,22.17,-4.13,62.55,25.16,in_distribution,15.8,8.52
in_distribution,13,188,1,-,True,23.81,16.25,5.08,54.86,28.63,in_distribution,15.75,8.14
in_distribution,14,230,1,-,True,21.42,19.79,-0.75,58.06,25.17,in_distribution,15.43,8.58
in_distribution,15,275,1,-,True,21.89,20.8,-1.61,59.52,26.96,in_distribution,15.67,8.48
distractors,1,227,1,-,True,21.63,25.37,-12.88,68.86,20.84,distractors,15.32,9.35
distractors,2,164,1,-,True,20.93,19.54,-1.9,60.42,24.15,distractors,15.24,8.64
distractors,3,262,1,-,True,22.26,21.1,-5.38,63.93,22.71,distractors,15.38,8.82
distractors,4,219,1,-,True,20.76,27.4,-15.3,71.06,20.45,distractors,15.37,9.36
distractors,5,225,1,-,True,21.04,26.83,-12.61,69.81,21.71,distractors,15.62,8.97
distractors,6,415,1,-,True,20.86,33.0,-23.58,74.22,22.1,distractors,15.56,10.06
distractors,7,221,1,-,True,21.5,24.32,-11.19,71.79,22.22,distractors,15.47,8.85
distractors,8,220,1,-,True,20.53,22.94,-8.06,66.39,20.11,distractors,15.21,8.88
distractors,9,201,1,-,True,20.45,26.79,-14.71,69.59,18.62,distractors,15.19,9.46
distractors,10,534,0,-,True,0.93,52.39,-44.47,39.96,-7.21,distractors,12.01,15.07
distractors,11,537,0,-,True,-6.26,58.81,-61.98,57.33,1.58,distractors,10.94,16.47
distractors,12,549,0,-,True,7.49,59.69,-61.77,59.47,7.14,distractors,13.15,15.99
distractors,13,235,1,-,True,21.57,14.69,6.44,55.35,21.96,distractors,15.21,7.99
distractors,14,274,1,-,True,20.08,23.82,-5.8,62.2,18.84,distractors,15.42,8.64
distractors,15,516,0,-,True,8.48,60.51,-62.5,60.65,7.27,distractors,13.39,15.9
spot_check,1,634,1,T1,True,-81.55,9.03,14.72,60.56,11.79,spot_check:T1,1.61,7.33
spot_check,2,254,1,T1,True,-81.28,10.19,10.72,63.34,6.99,spot_check:T1,1.37,7.73
spot_check,3,407,1,T3,True,-11.34,47.67,-35.02,35.85,-11.14,spot_check:T3,10.45,14.15
spot_check,4,321,1,T3,True,-13.13,46.84,-37.59,38.98,-9.71,spot_check:T3,9.88,14.59
spot_check,5,266,1,T10,True,43.03,46.3,-40.55,62.03,47.9,spot_check:T10,18.91,13.06
spot_check,6,558,1,T10,True,42.69,46.89,-46.56,68.32,50.13,spot_check:T10,18.51,13.74
new_positions,1,308,0,E1,True,15.3,61.95,-65.22,58.29,13.25,new_positions:E1,14.24,16.52
new_positions,2,349,0,E1,True,15.25,66.53,-70.49,59.79,8.87,new_positions:E1,14.41,16.81
new_positions,3,466,0,E1,True,19.05,62.04,-71.19,61.58,19.46,new_positions:E1,14.25,17.57
new_positions,4,191,0,E1,True,-24.88,15.16,-8.11,70.15,-37.79,new_positions:E1,6.69,9.66
new_positions,5,201,0,E1,True,26.71,27.93,-25.91,60.92,36.86,new_positions:E1,14.83,12.81
new_positions,6,378,0,E2,True,-79.28,11.02,3.6,68.86,-2.3,new_positions:E2,0.91,8.58
new_positions,7,456,0,E2,True,-83.14,13.63,1.94,67.57,0.8,new_positions:E2,0.71,8.73
new_positions,8,372,0,E2,True,-84.88,13.63,-0.36,71.3,4.84,new_positions:E2,0.42,8.94
new_positions,9,615,0,E2,True,-83.55,15.65,-8.66,75.81,7.91,new_positions:E2,0.16,10.08
new_positions,10,427,0,E2,True,-82.93,14.85,-6.16,70.92,7.86,new_positions:E2,0.21,10.12
new_positions,11,370,0,E3,True,-5.2,53.6,-46.73,46.47,-11.63,new_positions:E3,11.32,14.76
new_positions,12,365,0,E3,True,-10.27,51.02,-43.21,36.22,-17.16,new_positions:E3,10.08,15.39
new_positions,13,509,0,E3,True,-9.73,50.65,-44.9,41.77,-10.79,new_positions:E3,10.22,15.33
new_positions,14,426,0,E3,True,4.71,46.8,-39.42,47.87,8.48,new_positions:E3,12.72,14.13
new_positions,15,427,0,E3,True,-10.55,60.76,-61.93,46.95,-12.36,new_positions:E3,10.05,17.09
new_positions,16,899,0,E4,True,20.08,67.46,-68.81,56.44,20.72,new_positions:E4,15.55,16.67
