cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,185,0,-,True,22.67,22.91,-15.13,69.46,26.71,in_distribution,14.84,10.24
in_distribution,2,290,0,-,True,24.77,34.08,-22.73,68.55,31.23,in_distribution,16.35,10.31
in_distribution,3,234,0,-,True,22.13,29.3,-19.28,67.44,20.27,in_distribution,15.26,10.32
in_distribution,4,207,1,-,False,24.75,22.48,-7.86,65.92,22.13,in_distribution,15.73,8.94
in_distribution,5,259,1,-,True,21.39,14.23,6.75,52.02,24.42,in_distribution,15.06,8.35
in_distribution,6,127,1,-,True,24.32,3.18,4.38,67.07,33.26,in_distribution,13.8,9.21
in_distribution,7,237,1,-,False,22.85,25.74,-10.15,65.75,26.11,in_distribution,15.89,9.01
in_distribution,8,214,1,-,True,22.07,29.52,-19.83,69.59,23.46,in_distribution,15.37,10.22
in_distribution,9,220,0,-,True,20.61,29.19,-17.11,63.3,22.78,in_distribution,15.2,10.29
in_distribution,10,191,0,-,True,21.21,32.45,-26.63,74.27,28.06,in_distribution,15.24,10.89
in_distribution,11,260,1,-,False,23.78,15.05,4.2,55.91,26.88,in_distribution,15.41,8.41
in_distribution,12,239,0,-,True,21.93,31.92,-24.51,67.71,23.21,in_distribution,15.14,11.1
in_distribution,13,299,1,-,True,21.99,17.41,5.5,55.93,23.41,in_distribution,15.72,7.72
in_distribution,14,338,1,-,True,18.01,30.2,-19.39,62.15,22.42,in_distribution,14.7,10.78
in_distribution,15,286,0,-,True,15.65,23.28,-22.66,74.63,18.87,in_distribution,13.07,11.38
distractors,1,764,0,-,True,-7.53,61.8,-74.95,55.18,-9.38,distractors,9.37,19.09
distractors,2,244,0,-,True,15.9,21.91,-5.15,60.14,18.48,distractors,14.49,9.03
distractors,3,308,0,-,True,2.87,47.31,-47.94,52.7,7.53,distractors,11.66,15.53
distractors,4,565,0,-,True,-2.6,55.21,-58.34,53.04,-3.75,distractors,10.91,16.56
distractors,5,622,0,-,True,1.33,53.67,-60.48,55.97,1.51,distractors,11.08,17.01
distractors,6,443,0,-,True,-3.9,54.78,-59.47,52.28,-0.04,distractors,10.56,17.01
distractors,7,489,0,-,True,-0.15,58.7,-66.21,53.39,-8.32,distractors,10.82,17.7
distractors,8,267,0,-,True,17.22,25.32,-18.95,67.96,17.11,distractors,13.84,10.84
distractors,9,337,0,-,True,9.13,37.22,-24.59,53.96,9.57,distractors,13.63,11.63
distractors,10,218,1,-,True,19.03,23.52,-6.42,63.45,20.12,distractors,15.22,8.72
distractors,11,223,0,-,True,11.94,25.62,-18.81,69.04,18.46,distractors,13.29,10.72
distractors,12,675,0,-,True,-3.67,59.53,-65.72,51.02,-3.24,distractors,10.59,17.77
distractors,13,436,0,-,True,-1.39,52.93,-55.31,54.19,6.47,distractors,11.28,16.19
distractors,14,587,0,-,True,0.74,55.18,-51.17,47.12,0.76,distractors,12.12,15.52
distractors,15,276,0,-,True,2.39,47.29,-50.89,54.09,6.67,distractors,11.25,16.06
spot_check,1,262,1,T1,False,-77.88,21.52,-6.11,74.65,19.74,spot_check:T1,2.56,8.73
spot_check,2,242,1,T1,True,-83.45,12.58,2.35,70.93,10.28,spot_check:T1,0.85,8.56
spot_check,3,253,1,T3,True,-12.11,52.59,-41.49,40.09,-9.01,spot_check:T3,10.68,14.45
spot_check,4,270,1,T3,False,-13.42,48.43,-38.94,36.35,-9.64,spot_check:T3,9.87,14.91
spot_check,5,264,1,T10,False,42.36,48.55,-50.5,68.67,42.44,spot_check:T10,18.13,14.28
spot_check,6,267,1,T10,True,42.52,37.71,-34.69,62.4,38.67,spot_check:T10,17.76,12.98
new_positions,1,991,0,E1,True,-5.78,6.86,-17.39,76.35,12.37,new_positions:E1,7.7,12.77
new_positions,2,288,0,E1,True,-16.63,-10.7,-5.52,72.05,-2.99,new_positions:E1,3.93,13.25
new_positions,3,161,0,E1,True,-36.82,-1.98,13.15,58.51,-37.02,new_positions:E1,4.09,8.81
new_positions,4,236,0,E1,True,-20.36,27.32,-36.08,77.15,-18.23,new_positions:E1,6.73,13.55
new_positions,5,149,0,E1,True,-29.22,-1.08,0.83,68.33,-30.05,new_positions:E1,4.22,10.5
new_positions,6,423,0,E2,True,-84.94,18.4,-10.28,76.29,10.54,new_positions:E2,0.38,10.0
new_positions,7,198,0,E2,True,-72.38,6.27,-1.63,76.94,15.9,new_positions:E2,0.94,9.83
new_positions,8,350,0,E2,True,-83.73,16.06,-6.29,76.34,15.2,new_positions:E2,0.69,9.49
new_positions,9,434,0,E2,True,-87.54,16.11,-5.45,75.61,7.93,new_positions:E2,0.13,9.33
new_positions,10,440,0,E2,True,-79.82,3.6,-2.19,81.62,10.31,new_positions:E2,-0.55,9.94
new_positions,11,288,0,E3,True,1.78,41.26,-49.94,67.33,13.47,new_positions:E3,10.81,15.56
new_positions,12,370,0,E3,True,-11.48,60.64,-70.83,56.83,-0.0,new_positions:E3,9.42,18.28
new_positions,13,218,0,E3,True,-0.19,37.66,-33.92,63.58,6.57,new_positions:E3,11.61,12.8
new_positions,14,177,0,E3,True,-1.86,45.66,-55.98,65.32,2.38,new_positions:E3,10.09,16.37
new_positions,15,289,0,E3,True,-7.8,45.46,-44.99,59.55,1.1,new_positions:E3,10.42,14.5
new_positions,16,554,0,E4,True,27.14,62.55,-85.75,68.39,24.92,new_positions:E4,13.94,20.12
new_positions,17,695,0,E4,True,20.24,60.15,-62.66,50.24,13.9,new_positions:E4,14.57,16.99
new_positions,18,324,0,E4,True,61.69,36.35,-29.57,58.68,-16.12,new_positions:E4,19.4,11.73
new_positions,19,239,0,E4,True,34.92,-2.86,27.99,53.57,-40.04,new_positions:E4,15.0,5.36
new_positions,20,678,0,E4,True,19.91,64.32,-83.72,61.83,19.18,new_positions:E4,13.2,20.04
new_positions,21,107,0,E5,True,32.75,16.7,-12.22,58.97,19.1,new_positions:E5,14.77,11.45
new_positions,22,237,0,E5,True,19.8,51.75,-54.75,57.62,18.04,new_positions:E5,14.29,15.83
new_positions,23,239,0,E5,True,26.32,53.75,-50.37,51.72,18.2,new_positions:E5,15.86,15.03
new_positions,24,673,0,E5,True,8.02,63.64,-77.09,54.23,3.33,new_positions:E5,11.72,19.35
new_positions,25,665,0,E5,True,8.55,55.61,-58.87,48.97,11.6,new_positions:E5,12.54,17.06
