cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,208,1,-,True,20.09,14.97,6.44,54.21,29.75,in_distribution,15.19,8.14
in_distribution,2,190,1,-,True,21.41,15.95,4.02,57.71,24.62,in_distribution,15.27,8.13
in_distribution,3,204,1,-,True,21.82,18.02,0.62,56.19,22.42,in_distribution,15.18,8.71
in_distribution,4,232,1,-,False,19.38,13.33,12.49,49.14,28.18,in_distribution,15.32,7.52
in_distribution,5,224,1,-,True,18.17,9.74,10.55,54.62,27.21,in_distribution,14.42,7.99
in_distribution,6,222,1,-,True,20.57,24.13,-6.44,66.49,14.66,in_distribution,15.55,8.26
in_distribution,7,214,1,-,True,23.22,14.27,6.1,53.16,26.31,in_distribution,15.31,8.38
in_distribution,8,176,1,-,False,19.85,13.27,7.29,54.93,25.64,in_distribution,14.88,8.11
in_distribution,9,239,1,-,True,18.89,14.47,11.0,53.73,26.58,in_distribution,15.43,7.21
in_distribution,10,171,1,-,True,24.47,10.79,8.64,56.64,27.37,in_distribution,15.29,8.0
in_distribution,11,219,1,-,True,18.55,10.23,11.77,51.73,26.91,in_distribution,14.6,7.92
in_distribution,12,218,1,-,True,17.29,11.62,12.53,52.28,26.04,in_distribution,14.8,7.47
in_distribution,13,407,1,-,True,18.41,16.02,0.09,65.18,23.85,in_distribution,14.67,8.3
in_distribution,14,191,1,-,True,17.03,9.49,10.91,57.82,27.11,in_distribution,14.39,7.64
in_distribution,15,205,1,-,True,17.76,11.46,10.46,51.21,25.02,in_distribution,14.5,8.06
distractors,1,384,0,-,True,3.12,39.3,-36.49,51.08,3.45,distractors,11.47,14.31
distractors,2,458,0,-,True,3.97,41.31,-33.08,46.68,5.74,distractors,12.27,13.66
distractors,3,174,1,-,True,17.81,16.99,-2.59,63.64,20.81,distractors,14.31,8.89
distractors,4,177,1,-,True,19.69,19.74,-1.31,62.38,19.89,distractors,15.18,8.26
distractors,5,174,0,-,True,14.79,21.57,-5.04,63.84,14.1,distractors,14.35,8.66
distractors,6,406,0,-,True,4.48,36.55,-34.29,47.1,5.23,distractors,11.28,14.64
distractors,8,173,0,-,True,14.68,17.49,-1.06,64.1,14.67,distractors,14.09,8.39
distractors,9,182,1,-,False,19.21,21.48,-4.2,60.35,22.6,distractors,15.06,8.87
distractors,10,333,0,-,True,6.51,44.39,-40.57,51.6,9.65,distractors,12.52,14.4
distractors,11,415,0,-,True,6.86,44.47,-39.53,48.21,6.94,distractors,12.52,14.46
distractors,12,429,0,-,True,2.01,43.66,-35.18,41.9,3.98,distractors,11.97,14.24
distractors,13,479,0,-,True,1.54,45.36,-40.68,44.74,5.86,distractors,11.69,14.97
distractors,14,144,0,-,True,16.96,18.14,-5.34,66.91,16.53,distractors,14.11,8.98
distractors,15,179,1,-,True,21.12,22.89,-8.14,66.34,18.82,distractors,15.24,8.9
spot_check,1,336,1,T1,False,-81.69,10.52,10.11,63.27,15.8,spot_check:T1,1.48,7.91
spot_check,2,275,1,T1,True,-81.65,13.31,7.56,64.32,16.05,spot_check:T1,1.74,7.95
spot_check,3,242,1,T3,False,-11.99,40.47,-27.62,29.03,-13.0,spot_check:T3,9.61,14.28
spot_check,4,270,1,T3,True,-10.89,39.14,-26.05,32.73,-10.2,spot_check:T3,9.91,13.78
spot_check,5,341,0,T10,True,34.46,42.11,-34.27,58.71,29.24,spot_check:T10,17.26,12.54
spot_check,6,290,0,T10,True,33.21,41.72,-43.44,59.43,27.15,spot_check:T10,15.83,14.62
new_positions,2,344,0,E1,True,-22.45,5.63,7.65,49.92,-22.25,new_positions:E1,6.7,9.71
new_positions,3,495,0,E1,True,-29.91,-9.64,28.88,44.65,-14.11,new_positions:E1,5.45,7.95
