cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,169,1,-,True,21.12,14.34,8.93,50.63,27.41,in_distribution,15.33,8.0
in_distribution,2,432,1,-,True,22.28,16.81,2.87,56.17,24.69,in_distribution,15.35,8.41
in_distribution,3,228,1,-,False,22.14,16.19,5.46,54.34,23.21,in_distribution,15.44,8.08
in_distribution,4,181,1,-,False,23.07,16.62,6.83,51.07,24.19,in_distribution,15.71,8.03
in_distribution,5,193,1,-,True,23.17,17.48,3.52,56.98,27.82,in_distribution,15.77,8.09
in_distribution,6,156,1,-,True,23.74,18.53,3.69,56.5,28.86,in_distribution,16.07,7.93
in_distribution,7,157,1,-,True,21.72,18.84,1.82,58.44,20.58,in_distribution,15.54,8.06
in_distribution,8,186,1,-,True,22.64,16.56,5.75,53.6,23.88,in_distribution,15.59,8.03
in_distribution,9,169,1,-,True,23.27,14.8,3.92,54.36,28.28,in_distribution,15.23,8.69
in_distribution,10,207,1,-,True,22.18,22.59,-5.74,63.7,23.22,in_distribution,15.62,8.69
in_distribution,11,160,1,-,True,21.33,16.01,3.62,57.53,25.35,in_distribution,15.23,8.24
in_distribution,12,204,1,-,True,22.36,19.62,-1.7,59.8,26.11,in_distribution,15.49,8.65
in_distribution,13,194,1,-,True,21.5,21.3,-3.7,62.1,23.92,in_distribution,15.49,8.6
in_distribution,14,192,1,-,False,21.54,17.33,1.77,57.57,21.45,in_distribution,15.2,8.41
in_distribution,15,202,1,-,True,23.42,20.0,-1.62,60.12,27.29,in_distribution,15.75,8.54
distractors,1,144,0,-,True,16.2,9.66,5.15,58.81,19.97,distractors,13.47,8.78
distractors,2,182,1,-,True,18.25,16.81,1.18,56.29,12.36,distractors,14.35,8.71
distractors,3,170,1,-,True,20.28,15.19,7.61,53.73,21.82,distractors,15.22,7.81
distractors,4,178,1,-,True,18.03,14.85,4.7,54.87,11.83,distractors,14.33,8.35
distractors,5,173,1,-,True,20.71,15.82,1.69,59.03,17.05,distractors,14.76,8.49
distractors,6,180,1,-,True,19.92,16.4,4.1,54.66,18.79,distractors,14.93,8.31
distractors,7,191,1,-,False,22.02,15.99,4.78,54.38,16.45,distractors,15.16,8.21
