cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,187,1,-,True,23.62,19.56,-1.05,61.6,28.61,in_distribution,15.85,8.35
in_distribution,2,216,1,-,False,22.87,18.71,-1.43,63.13,26.25,in_distribution,15.55,8.4
in_distribution,3,167,1,-,True,23.43,18.22,-0.6,61.24,24.31,in_distribution,15.52,8.46
in_distribution,4,441,0,-,True,17.35,28.23,-18.15,64.38,21.48,in_distribution,14.47,10.59
in_distribution,5,158,1,-,True,21.33,22.79,-7.26,63.31,25.83,in_distribution,15.39,9.08
in_distribution,6,171,1,-,True,24.9,19.71,0.6,58.22,25.15,in_distribution,16.05,8.24
in_distribution,7,184,1,-,True,22.91,15.38,3.95,58.48,29.46,in_distribution,15.48,8.19
in_distribution,8,161,1,-,True,23.95,18.28,1.21,58.81,29.22,in_distribution,15.84,8.31
in_distribution,9,173,1,-,True,23.5,15.81,5.4,58.17,30.77,in_distribution,15.84,7.83
in_distribution,10,200,1,-,True,20.26,19.65,-4.11,63.96,26.71,in_distribution,15.09,8.81
in_distribution,11,168,1,-,True,23.93,20.31,-3.06,62.21,26.65,in_distribution,15.76,8.6
in_distribution,12,144,1,-,True,22.69,18.16,-0.86,61.04,26.89,in_distribution,15.42,8.57
in_distribution,13,145,1,-,True,24.16,16.74,0.91,59.41,26.93,in_distribution,15.51,8.55
in_distribution,14,176,0,-,True,22.0,19.59,-6.87,60.18,25.38,in_distribution,14.77,9.8
in_distribution,15,153,1,-,True,20.6,23.7,-6.94,66.15,23.34,in_distribution,15.57,8.56
distractors,1,141,0,-,True,19.84,17.5,-4.3,65.98,22.77,distractors,14.6,8.96
distractors,2,142,1,-,False,24.65,18.51,0.82,57.89,21.2,distractors,15.72,8.38
distractors,3,160,1,-,False,20.8,17.32,2.23,58.33,16.23,distractors,15.08,8.19
distractors,4,180,1,-,True,20.12,21.11,-5.63,65.43,19.69,distractors,15.07,8.72
distractors,5,186,0,-,True,18.05,23.31,-5.06,62.79,18.62,distractors,15.17,8.51
distractors,6,180,1,-,True,22.29,19.93,-0.3,58.97,19.28,distractors,15.54,8.3
distractors,7,599,0,-,True,10.75,50.65,-50.66,55.11,5.54,distractors,13.05,15.28
distractors,8,212,1,-,False,19.51,21.35,-5.21,64.21,25.56,distractors,15.16,8.76
distractors,9,409,0,-,True,6.18,55.02,-54.46,57.16,5.46,distractors,12.88,15.29
distractors,10,184,1,-,True,19.42,17.12,3.4,59.7,27.56,distractors,15.3,7.93
distractors,11,173,1,-,True,16.92,17.43,-2.98,62.73,19.29,distractors,14.16,8.99
distractors,12,157,1,-,True,19.67,16.26,2.29,59.82,20.61,distractors,14.89,8.25
distractors,13,175,0,-,True,16.92,20.67,-5.83,59.57,18.33,distractors,14.28,9.43
distractors,14,171,1,-,False,21.13,17.09,4.04,55.6,28.01,distractors,15.44,8.19
distractors,15,175,0,-,True,18.57,24.82,-11.43,63.17,16.02,distractors,14.67,9.66
spot_check,1,285,1,T1,True,-80.09,10.41,10.32,63.85,7.72,spot_check:T1,1.55,7.73
spot_check,2,274,1,T1,False,-80.39,10.67,6.2,66.26,7.31,spot_check:T1,1.13,8.4
spot_check,3,170,1,T3,False,-13.05,45.03,-37.06,34.98,-18.31,spot_check:T3,9.27,15.08
spot_check,4,187,1,T3,True,-11.61,44.88,-35.5,38.01,-17.58,spot_check:T3,9.77,14.44
spot_check,5,258,1,T10,True,39.6,37.05,-29.9,60.1,39.27,spot_check:T10,17.78,12.25
spot_check,6,170,1,T10,True,37.23,30.75,-21.17,62.31,38.32,spot_check:T10,17.45,11.05
new_positions,1,313,0,E1,True,-67.74,12.29,-2.69,80.43,38.38,new_positions:E1,3.18,8.92
new_positions,2,787,0,E1,True,-8.1,49.58,-41.58,37.93,-4.3,new_positions:E1,10.63,15.17
new_positions,3,631,0,E1,True,-66.82,14.09,-5.06,76.84,32.22,new_positions:E1,3.07,9.47
new_positions,4,418,0,E1,True,-56.31,18.4,-2.76,77.8,41.8,new_positions:E1,5.81,8.15
new_positions,5,270,0,E1,True,-55.2,13.57,0.79,79.16,40.19,new_positions:E1,5.51,7.95
new_positions,6,705,0,E2,True,-85.09,10.93,1.15,71.58,20.29,new_positions:E2,0.39,9.14
new_positions,8,667,0,E2,True,-87.65,11.05,6.74,68.83,19.93,new_positions:E2,0.68,8.13
new_positions,9,564,0,E2,True,-88.01,14.33,-1.32,70.91,18.82,new_positions:E2,0.29,9.24
new_positions,10,704,0,E2,True,-85.86,7.99,6.8,69.25,17.73,new_positions:E2,0.3,8.53
new_positions,11,586,0,E3,True,-6.24,47.07,-41.58,43.45,-4.41,new_positions:E3,10.61,15.0
new_positions,12,469,0,E3,True,-9.48,51.24,-45.79,44.32,-1.54,new_positions:E3,10.54,15.27
new_positions,13,141,0,E3,True,3.35,12.89,1.91,59.31,15.34,new_positions:E3,11.91,9.03
new_positions,14,464,0,E3,True,-12.42,45.28,-44.77,68.26,-0.36,new_positions:E3,10.13,13.64
new_positions,16,594,0,E4,True,45.11,50.83,-43.81,54.81,-2.92,new_positions:E4,18.3,13.33
new_positions,17,546,0,E4,True,18.2,53.05,-51.08,53.34,11.71,new_positions:E4,14.49,15.16
