cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,207,1,-,True,24.21,20.65,1.62,53.08,24.62,in_distribution,16.05,8.37
in_distribution,2,205,1,-,True,22.71,16.44,4.64,54.91,28.12,in_distribution,15.58,8.21
in_distribution,3,185,1,-,True,24.24,20.03,1.01,57.25,24.19,in_distribution,16.02,8.19
in_distribution,4,219,0,-,True,23.35,17.82,1.46,59.35,27.7,in_distribution,15.69,8.27
in_distribution,5,177,1,-,True,22.27,14.69,8.85,51.94,29.55,in_distribution,15.63,7.84
in_distribution,6,192,1,-,True,23.18,18.34,3.34,55.45,26.38,in_distribution,15.83,8.13
in_distribution,7,196,1,-,True,22.99,19.68,3.73,53.32,24.24,in_distribution,15.98,8.02
in_distribution,8,202,1,-,True,23.02,20.44,-1.03,64.42,26.69,in_distribution,16.02,7.91
in_distribution,9,139,1,-,True,21.95,16.26,5.46,57.43,26.72,in_distribution,15.62,7.8
in_distribution,10,214,1,-,True,22.55,14.82,7.06,52.51,25.78,in_distribution,15.41,8.14
in_distribution,11,177,1,-,False,23.68,18.97,-2.04,59.1,26.89,in_distribution,15.48,8.9
in_distribution,12,219,1,-,True,23.48,17.7,4.59,54.18,28.93,in_distribution,15.9,8.09
in_distribution,13,205,1,-,True,22.55,18.66,5.96,53.21,32.12,in_distribution,16.17,7.76
in_distribution,14,327,0,-,True,12.07,15.47,4.69,59.88,22.15,in_distribution,14.07,7.9
in_distribution,15,127,1,-,True,22.06,11.49,6.4,56.53,24.7,in_distribution,14.76,8.41
distractors,1,213,1,-,True,16.12,16.56,-0.75,63.71,22.35,distractors,14.28,8.56
distractors,2,395,0,-,True,1.41,52.06,-52.93,59.79,9.93,distractors,12.08,15.24
distractors,3,264,1,-,True,12.67,15.58,1.78,57.91,18.85,distractors,13.65,8.71
distractors,4,193,0,-,True,18.98,14.71,6.02,57.2,16.41,distractors,14.78,7.87
distractors,5,290,0,-,True,14.65,17.62,-0.79,65.58,19.85,distractors,14.31,8.2
distractors,6,390,0,-,True,6.19,51.73,-51.94,55.14,2.6,distractors,12.43,15.42
distractors,7,470,0,-,True,6.67,49.35,-45.36,53.14,7.32,distractors,12.9,14.53
distractors,8,194,0,-,True,13.7,10.52,11.38,54.22,21.27,distractors,13.95,7.7
distractors,9,474,0,-,True,3.1,44.73,-40.13,48.4,16.23,distractors,12.2,14.65
distractors,10,226,1,-,True,13.99,22.27,-2.35,61.35,19.35,distractors,14.74,8.24
distractors,11,174,0,-,True,16.52,18.32,-2.29,64.23,20.43,distractors,14.45,8.56
distractors,12,621,0,-,True,4.23,47.07,-41.44,48.07,11.66,distractors,12.53,14.56
distractors,13,186,1,-,True,16.06,18.89,3.64,57.79,19.43,distractors,14.98,7.74
distractors,14,182,0,-,True,15.18,20.14,-3.74,66.03,20.28,distractors,14.51,8.43
distractors,15,231,1,-,True,16.72,16.19,5.43,55.55,21.26,distractors,14.73,8.0
spot_check,1,410,1,T1,True,-81.93,16.14,2.93,70.32,9.72,spot_check:T1,1.77,7.9
spot_check,2,273,1,T1,True,-82.5,12.82,5.89,66.75,12.16,spot_check:T1,1.34,8.14
spot_check,3,220,1,T3,True,-12.39,42.64,-27.0,30.37,-13.07,spot_check:T3,10.11,13.66
spot_check,4,168,1,T3,False,-12.27,50.24,-39.78,37.15,-18.84,spot_check:T3,10.11,14.64
spot_check,5,283,1,T10,True,42.32,41.62,-37.61,63.34,43.17,spot_check:T10,18.25,12.97
spot_check,6,284,1,T10,True,38.88,39.34,-30.64,60.36,38.73,spot_check:T10,18.03,12.03
new_positions,1,463,0,E1,True,-57.62,20.63,-4.45,75.35,41.1,new_positions:E1,5.74,8.43
new_positions,2,469,0,E1,True,-79.26,11.77,-0.73,80.45,24.53,new_positions:E1,1.53,8.54
new_positions,3,407,0,E1,True,-80.75,14.59,-1.92,79.46,29.5,new_positions:E1,1.78,8.52
