cell,episode,frame,success,instance,released,pan,lift,elbow,wrist_flex,wrist_roll,group,grasp_x,grasp_y
in_distribution,1,178,1,-,True,22.84,14.89,6.48,52.41,23.67,in_distribution,15.34,8.25
in_distribution,2,217,1,-,True,21.27,13.26,11.69,45.35,23.92,in_distribution,15.21,8.03
in_distribution,3,191,1,-,True,23.36,14.08,8.88,49.15,17.9,in_distribution,15.31,8.09
in_distribution,4,174,1,-,False,22.33,15.0,9.61,48.74,28.93,in_distribution,15.66,7.93
in_distribution,5,179,1,-,True,23.01,16.83,5.87,53.17,23.67,in_distribution,15.69,8.0
in_distribution,6,153,1,-,True,23.05,18.05,1.82,59.37,29.1,in_distribution,15.77,8.16
in_distribution,7,152,1,-,True,22.99,15.23,8.34,51.65,26.39,in_distribution,15.69,7.86
in_distribution,8,160,1,-,True,24.05,14.29,7.38,52.8,22.71,in_distribution,15.5,8.08
in_distribution,9,183,1,-,True,23.71,17.18,6.13,52.62,17.68,in_distribution,15.74,7.88
in_distribution,10,185,1,-,True,23.3,16.62,6.56,53.34,25.58,in_distribution,15.82,7.87
in_distribution,11,181,1,-,True,22.52,12.9,9.4,50.76,24.49,in_distribution,15.24,8.07
in_distribution,12,175,1,-,False,24.61,15.4,7.17,50.97,18.48,in_distribution,15.59,8.09
in_distribution,13,179,1,-,True,22.92,15.61,7.22,49.94,24.25,in_distribution,15.5,8.21
in_distribution,14,224,1,-,True,23.1,19.67,2.28,52.72,22.75,in_distribution,15.75,8.4
in_distribution,15,183,1,-,True,22.7,13.36,12.09,46.05,21.15,in_distribution,15.44,7.82
distractors,1,187,1,-,False,18.98,11.42,10.73,49.5,17.2,distractors,14.46,8.09
distractors,2,200,0,-,True,15.5,19.66,-3.07,57.96,15.24,distractors,14.12,9.11
distractors,3,168,1,-,True,18.32,11.74,9.96,52.3,21.32,distractors,14.53,7.98
distractors,4,144,1,-,True,19.97,12.85,7.67,53.55,15.04,distractors,14.59,8.13
distractors,5,142,0,-,True,17.27,12.42,6.64,56.09,15.82,distractors,14.14,8.22
distractors,6,145,0,-,True,18.83,11.79,7.7,55.61,17.55,distractors,14.37,8.13
distractors,7,293,0,-,True,13.43,22.47,-6.13,57.7,16.28,distractors,14.01,9.41
distractors,8,145,0,-,True,18.6,10.01,9.23,52.91,13.57,distractors,14.01,8.29
distractors,9,404,0,-,True,3.82,41.64,-33.45,49.73,9.18,distractors,12.46,13.42
distractors,10,187,0,-,True,16.19,18.75,-0.94,58.97,13.63,distractors,14.31,8.64
distractors,11,154,1,-,True,19.32,15.04,4.18,55.38,14.23,distractors,14.54,8.4
distractors,12,298,0,-,True,12.89,19.14,0.61,50.87,11.5,distractors,13.78,9.04
distractors,13,175,1,-,True,19.52,11.54,12.25,50.83,24.41,distractors,14.95,7.66
distractors,14,391,0,-,True,0.33,42.23,-32.32,46.42,7.95,distractors,12.11,13.41
distractors,15,142,0,-,True,18.43,10.59,5.6,56.44,17.08,distractors,13.85,8.71
spot_check,1,280,1,T1,True,-80.57,11.52,9.89,63.2,5.89,spot_check:T1,1.59,7.71
spot_check,2,244,1,T1,True,-80.53,9.02,11.64,61.89,11.95,spot_check:T1,1.41,7.89
spot_check,3,240,1,T3,True,-11.94,44.95,-29.9,30.9,-16.63,spot_check:T3,10.19,13.86
